,build,bio1,bio2,bio3,,rxn05294_c0,rxn05295_c0,rxn05296_c0,,,,,,bio1,
cpd15665_c0,-0.025002421,-0.025010598,-0.025002421,-0.025002421,0,0,0,0,,,,,cpd11461_c0,-0.031,0.031
cpd00015_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd11463_c0,-0.563,0.563
cpd00033_c0,-0.509142274,-0.509869787,0,-0.509142274,-0.509142274,0,0,-0.904337964,,,,,cpd11462_c0,-0.21,0.21
cpd00104_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00010_c0,-0.00280458,0
cpd00052_c0,-0.084079465,-0.084103616,0,-0.084079465,-0.084079465,0,-0.400378403,0,,,,,cpd11493_c0,-0.00280458,0
cpd00003_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd12370_c0,0.00280458,0
cpd15533_c0,-0.031101845,-0.031145345,-0.031101845,-0.031101845,0,0,0,0,,,,,cpd00003_c0,-0.00280458,0
cpd00069_c0,-0.120504416,-0.120676605,0,-0.120504416,-0.120504416,0,0,-0.214039815,,,,,cpd00006_c0,-0.00280458,0
cpd00356_c0,-0.01627202,-0.016276868,0,-0.016015767,-0.01627202,-0.524903859,0,0,,,,,cpd00205_c0,-0.00280458,0
cpd00161_c0,-0.210771561,-0.211072733,0,-0.210771561,-0.210771561,0,0,-0.374372223,,,,,cpd00254_c0,-0.00280458,0
cpd00006_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd10516_c0,-0.00280458,0
cpd00035_c0,-0.427323777,-0.42793438,0,-0.427323777,-0.427323777,0,0,-0.759012038,,,,,cpd00063_c0,-0.00280458,0
cpd12370_c0,0.00280458,0.002806159,0.00280458,0.00280458,0,0,0,0,,,,,cpd00009_c0,39.99719542,0
cpd00009_c0,39.99719542,39.99719384,39.99719542,39.99719542,0,0,0,0,,,,,cpd00099_c0,-0.00280458,0
cpd00129_c0,-0.184091617,-0.184354665,0,-0.184091617,-0.184091617,0,0,-0.326983334,,,,,cpd00149_c0,-0.00280458,0
cpd10516_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00058_c0,-0.00280458,0
cpd00042_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00015_c0,-0.00280458,0
cpd10515_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd10515_c0,-0.00280458,0
cpd00039_c0,-0.28503074,-0.28543802,0,-0.28503074,-0.28503074,0,0,-0.506271297,,,,,cpd00030_c0,-0.00280458,0
cpd00201_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00048_c0,-0.00280458,0
cpd00051_c0,-0.246344821,-0.246696823,0,-0.246344821,-0.246344821,0,0,-0.437557408,,,,,cpd00034_c0,-0.00280458,0
cpd00056_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00016_c0,-0.00280458,0
cpd15352_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00220_c0,-0.00280458,0
cpd00058_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00017_c0,-0.00280458,0
cpd00060_c0,-0.127619068,-0.127801423,0,-0.127619068,-0.127619068,0,0,-0.226676852,,,,,cpd00201_c0,-0.00280458,0
cpd00220_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00087_c0,-0.00280458,0
cpd15793_c0,-0.031101845,-0.031145345,-0.031101845,-0.031101845,0,0,0,0,,,,,cpd00345_c0,-0.00280458,0
cpd00034_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00042_c0,-0.00280458,0
cpd00030_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00028_c0,-0.00280458,0
cpd15560_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00557_c0,-0.00280458,0
cpd00023_c0,-0.218775545,-0.219088153,0,-0.218775545,-0.218775545,0,0,-0.388588889,,,,,cpd00264_c0,-0.00280458,0
cpd15500_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00118_c0,-0.00280458,0
cpd00156_c0,-0.351730601,-0.352233189,0,-0.351730601,-0.351730601,0,0,-0.624743519,,,,,cpd00056_c0,-0.00280458,0
cpd00115_c0,-0.015759515,-0.015764211,0,-0.016015767,-0.015759515,-0.508371454,0,0,,,,,cpd15560_c0,-0.00280458,0
cpd11493_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd15352_c0,-0.00280458,0
cpd00099_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd15500_c0,-0.00280458,0
cpd00119_c0,-0.079150502,-0.0792636,0,-0.079150502,-0.079150502,0,0,-0.140587037,,,,,cpd00166_c0,-0.00280458,0
cpd17041_c0,#N/A,-1,0,-1,0,0,0,0,,,,,cpd01997_c0,0.00280458,0
cpd00357_c0,-0.015759515,-0.015764211,0,-0.016015767,-0.015759515,-0.508371454,0,0,,,,,cpd03422_c0,0.00280458,0
cpd15540_c0,-0.031101845,-0.031145345,-0.031101845,-0.031101845,0,0,0,0,,,,,cpd00104_c0,-0.00280458,0
cpd00001_c0,-35.5466726,-35.54030924,-40,-35.5466726,4.453327399,0,0,7.909995381,,,,,cpd00037_c0,-0.00280458,0
cpd00084_c0,-0.076037842,-0.076146492,0,-0.076037842,-0.076037842,0,0,-0.135058334,,,,,cpd00050_c0,-0.00280458,0
cpd00132_c0,-0.200544249,-0.200830807,0,-0.200544249,-0.200544249,0,0,-0.356206482,,,,,cpd15793_c0,-0.031101845,0
cpd00017_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd15540_c0,-0.031101845,0
cpd00065_c0,-0.047134569,-0.047201919,0,-0.047134569,-0.047134569,0,0,-0.08372037,,,,,cpd15533_c0,-0.031101845,0
cpd00557_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd15432_c0,-0.025002421,0
cpd00264_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd02229_c0,-0.025002421,0
cpd00067_c0,40,40,40,40,0,0,0,0,,,,,cpd15665_c0,-0.025002421,0
cpd00002_c0,-40.1101441,-40.11017574,-40,-40.1101441,-0.110144099,0,-0.524495708,0,,,,,cpd15666_c0,0.025002421,0
cpd00038_c0,-0.135367938,-0.135406821,0,-0.135367938,-0.135367938,0,-0.64460923,0,,,,,cpd00002_c0,-40,-0.110144099
cpd00087_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00001_c0,-40,4.453327399
cpd00322_c0,-0.241453498,-0.24179851,0,-0.241453498,-0.241453498,0,0,-0.428869445,,,,,cpd00008_c0,40,0
cpd00254_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00067_c0,40,0
cpd01997_c0,0.00280458,0.002806159,0.00280458,0.00280458,0,0,0,0,,,,,cpd11416_c0,1,0
cpd00028_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00115_c0,0,-0.015759515
cpd00012_c0,0.484460393,0.484600236,0,0.484460393,0.484460393,2.066550626,2.001892017,0,,,,,cpd00012_c0,0,0.484460393
cpd00016_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00241_c0,0,-0.01627202
cpd02229_c0,-0.025002421,-0.025010598,-0.025002421,-0.025002421,0,0,0,0,,,,,cpd00356_c0,0,-0.01627202
cpd00066_c0,-0.154299012,-0.15451949,0,-0.154299012,-0.154299012,0,0,-0.274065741,,,,,cpd00357_c0,0,-0.015759515
cpd00037_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00038_c0,0,-0.135367938
cpd00107_c0,-0.37485322,-0.375388848,0,-0.37485322,-0.37485322,0,0,-0.66581389,,,,,cpd00052_c0,0,-0.084079465
cpd00053_c0,-0.218775545,-0.219088153,0,-0.218775545,-0.218775545,0,0,-0.388588889,,,,,cpd00062_c0,0,-0.090805822
cpd00041_c0,-0.200544249,-0.200830807,0,-0.200544249,-0.200544249,0,0,-0.356206482,,,,,cpd00023_c0,0,-0.218775545
cpd00054_c0,-0.179200294,-0.179456353,0,-0.179200294,-0.179200294,0,0,-0.318295371,,,,,cpd00033_c0,0,-0.509142274
cpd00008_c0,40,40,40,40,0,0,0,0,,,,,cpd00035_c0,0,-0.427323777
cpd00048_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00039_c0,0,-0.28503074
cpd00149_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00041_c0,0,-0.200544249
cpd17042_c0,#N/A,-1,0,-1,0,0,0,0,,,,,cpd00051_c0,0,-0.246344821
cpd15432_c0,-0.025002421,-0.025010598,-0.025002421,-0.025002421,0,0,0,0,,,,,cpd00053_c0,0,-0.218775545
cpd15666_c0,0.025002421,0.025010598,0.025002421,0.025002421,0,0,0,0,,,,,cpd00054_c0,0,-0.179200294
cpd17043_c0,#N/A,-1,0,-1,0,0,0,0,,,,,cpd00060_c0,0,-0.127619068
cpd00166_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00065_c0,0,-0.047134569
cpd00118_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00066_c0,0,-0.154299012
cpd00241_c0,-0.01627202,-0.016276868,0,-0.016015767,-0.01627202,-0.524903859,0,0,,,,,cpd00069_c0,0,-0.120504416
cpd11416_c0,1,1,1,1,0,0,0,0,,,,,cpd00084_c0,0,-0.076037842
cpd03422_c0,0.00280458,0.002806159,0.00280458,0.00280458,0,0,0,0,,,,,cpd00107_c0,0,-0.37485322
cpd00050_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00119_c0,0,-0.079150502
cpd00345_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00129_c0,0,-0.184091617
cpd00063_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00132_c0,0,-0.200544249
cpd00205_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00156_c0,0,-0.351730601
cpd00062_c0,-0.090805822,-0.090831905,0,-0.090805822,-0.090805822,0,-0.432408676,0,,,,,cpd00161_c0,0,-0.210771561
cpd00010_c0,-0.00280458,-0.002806159,-0.00280458,-0.00280458,0,0,0,0,,,,,cpd00322_c0,0,-0.241453498
cpd11461_c0,0,0,-0.031,0,0.031,1,0,0,,,,,,,
cpd11463_c0,0,0,-0.563,0,0.563,0,0,1,,,,,,,
cpd11462_c0,0,0,-0.21,0,0.21,0,1,0,,,,,,,