BiGG Metabolite ID,Log2FC(pdxBJ/WT 20nM PN)
glc__D_c,-5.163765311
2dh3dgal_c,-3.582946155
S2hglut_c,-3.013261672
glcn_c,-2.997364103
3c3hmp_c,-2.271694799
cbasp_c,-1.986159623
spmd_c,-1.845185223
fum_c,-1.780768004
ptrc_c,-1.665089264
isomal_c,-1.63993425
rib__D_c,-1.323848318
hom__L_c,-1.201970352
4hbz_c,-1.192539243
xyl__D_c,-1.182912676
fru_c,-1.101984774
g1p_c,-1.094173301
orot_c,-0.903849613
glyclt_c,-0.847377059
gua_c,-0.714221814
2dh3dgal6p_c,-0.666325717
ocdca_c,-0.479471998
dca_c,-0.460516216
hdcea_c,-0.441349836
hdca_c,-0.405508338
malt_c,-0.361640216
mal__L_c,-0.264668714
cit_c,-0.247113514
amp_c,-0.223956438
hcys__L_c,-0.221034456
suchms_c,-0.15973495
f6p_c,-0.063360003
sucr_p,-0.038791571
2ahbut_c,-0.006208965
glyc__R_c,0.003609137
phpyr_c,0.034688373
ghb_c,0.126166371
lys__L_c,0.18252381
quin_c,0.188157687
ru5p__D_c,0.195595901
succ_c,0.213538323
lac__D_c,0.280069837
g6p_c,0.281772939
ttdca_c,0.304674472
r5p_c,0.358716853
all__D_c,0.362175199
ile__L_c,0.438165191
ade_c,0.485490701
pnto__R_c,0.504213056
glyc3p_c,0.627891557
5mta_c,0.653345956
tyr__L_c,0.685680365
gthrd_c,0.688572993
ddca_c,0.689665824
pyr_c,0.725905469
abt__L_c,0.737603209
uacgam_c,0.802920866
cgly_c,0.84677005
glyc2p_c,0.874833642
met__L_c,0.916836708
alaala_c,0.953321296
tre_c,0.972883509
csn_c,1.029931579
acglu_c,1.057844075
26dap__M_c,1.083749012
hxan_c,1.086764057
pro__L_c,1.125443549
orn_c,1.170680331
xan_c,1.19783166
acorn_c,1.209796217
etha_c,1.279511501
thr__L_c,1.296639848
ncam_c,1.312793976
2amsa_c,1.333920641
gly_c,1.346051585
dtmp_c,1.416520211
ura_c,1.464675665
ala_B_c,1.498188804
adn_c,1.504241215
akg_c,1.560513224
val__L_c,1.645248443
asp__L_c,1.714927756
trp__L_c,1.815215811
ala__L_c,1.86272165
phe__L_c,1.910816191
3pg,1.947710919
4abut_c,2.013748294
thym_c,2.091220145
glu__L_c,2.23772282
leu__L_c,2.268469355
ppi_c,2.327758676
ser__L_c,2.698527335
gln__L_c,2.742082253
4per_c,2.751087658
pep_c,3.432799792
ins_c,3.9232151