Blattner,Log2FC(WT 5uM/20nM)
b1211,-0.665564806
b0238,-1.326911482
b2649,2.949228005
b4660,3.333745035
b0469,-0.825252321
b2042,-0.556663193
b0526,-0.6163735
b3504,3.353537189
b1210,-0.578790958
b3659,2.709269012
b3078,2.344100916
b3442,3.233733254
b0185,-0.512321759
b1471,5.283982576
b4497,2.030505491
b2109,1.341049904
b3730,-0.650118674
b0807,-0.810100556
b2287,-0.614903677
b1288,-0.508584731
b1691,3.098733475
b0632,-0.536232695
b3679,1.846878263
b3079,2.605732054
b3578,2.475519853
b3877,1.604247392
b3875,3.269818285
b2852,2.37065792
b0104,-0.572715698
b3784,-0.502174128
b0297,3.617877608
b2372,1.811721863
b2122,1.009871627
b0194,-0.509565862
b1310,2.411369121
b2549,1.41263404
b3682,2.13336869
b1029,1.982270811
b2081,-0.881094163
b3579,2.760130086
b1615,2.102391496
b4462,2.985461256
b1152,2.115322626
b2517,-0.758516136
b0125,-0.558640811
b1540,-0.553716532
b2585,-0.430668272
b3488,1.750988388
b0267,2.284814272
b3120,2.852321389
b3423,-0.637202949
b3816,-0.60213377
b4583,2.388051661
b2730,-0.719605331
b4027,2.561039713
b2288,-0.502007856
b3181,-0.644654483
b4491,0.574456751
b4651,2.336401638
b2014,-1.213137014
b0441,-0.469620842
b0533,3.631764542
b3326,1.137780442
b3902,3.156520731
b0770,2.469147737
b0835,-0.824319746
b0928,-0.403908415
b0661,-0.707287004
b1309,1.930691988
b4185,2.159784163
b0936,1.768428711
b1435,-0.755518755
b0511,2.316706057
b4391,-0.460376355
b4494,1.673104498
b1311,2.765844464
b2060,1.39435464
b1424,-0.485907115
b1393,1.811811719
b2056,1.835535359
b0243,-0.531174254
b3596,2.150051109
b2371,1.417251975
b4012,1.046080366
b1059,-0.424425632
b2633,0.951826257
b1974,2.007511228
b1001,1.312601969
b0242,-0.595083751
b2108,1.629357987
b3720,2.041474543
b0279,2.110952404
b2320,-0.408582988
b1149,1.479488888
b0612,1.387571168
b4098,2.545545713
b3137,1.748797178
b0718,1.64370278
b0393,-0.625201138
b2120,1.166781178
b3644,-0.431439088
b1502,2.451151137
b2858,3.059524757
b4081,1.589517029
b2986,2.352702283
b4132,2.666688521
b3701,-0.633811343
b2644,1.91085201
b3121,2.233729241
b3251,-0.592321487
b0452,-0.579409511
b4325,2.537908051
b2368,1.721466921
b3370,2.000702544
b4105,3.02120602
b3580,1.697045088
b0347,2.09770786
b1203,-0.554253818
b3047,1.691691353
b0675,-0.464415401
b2995,-1.075400336
b2956,1.325727343
b0474,-0.55997374
b4047,3.179103534
b1978,0.40063493
b4365,2.171339601
b1961,-0.524246871
b3187,-0.368222797
b4650,2.215894003
b3323,1.030209251
b3858,-0.737133048
b3424,-0.52293409
b2855,2.66152368
b1459,1.864248596
b0133,-0.412568367
b2448,0.652011099
b0499,0.606658823
b1232,-0.513186077
b1366,1.220496954
b3833,-0.311132039
b3891,-0.350054075
b0344,2.226383872
b2492,0.602171643
b0535,2.230831497
b0771,0.973295039
b2806,-0.390663265
b3721,1.532350002
b3878,1.518419413
b0940,1.086439256
b1151,2.091474518
b3899,1.887778094
b0768,0.868618041
b4147,-0.533649368
b1087,-0.426733834
b3576,2.524478245
b2477,-0.417492685
b0532,1.597299403
b2891,-0.466701967
b1929,-0.622745655
b2917,1.100531885
b0698,1.803496916
b3953,1.086009834
b3035,-0.525938587
b3826,-0.33021016
b3859,-0.371172277
b1505,1.986782273
b3084,-0.70556362
b0603,2.468123185
b0686,-0.431282608
b0738,-0.500600011
b2061,2.008018494
b0407,-0.431899995
b2046,0.855614223
b2957,-0.929484079
b4083,2.583907263
b1048,-0.411007274
b1035,-0.380033693
b2636,1.322083118
b2367,1.312575886
b0731,1.500761402
b3982,-0.412315658
b0040,1.74701734
b0291,0.965035145
b1527,2.091811142
b1694,1.18924297
b2634,1.301519003
b3038,-0.322986896
b2729,-0.814766584
b4066,2.034870936
b0997,0.802402684
b4028,1.994572289
b4183,1.880652695
b0769,2.694453577
b4108,-0.648794885
b0693,1.100680758
b3484,1.953425805
b0334,1.949294059
b4552,1.631594395
b1387,1.475209982
b4257,1.818966541
b1785,1.349988492
b3189,-0.471861736
b0348,1.956991277
b2873,1.128331707
b0847,-0.366496731
b4029,1.206296772
b0310,2.326385067
b2888,1.807909681
b3017,-0.344699782
b3240,1.152604662
b1069,-0.59633116
b4174,-0.416549256
b4374,-0.556197556
b3143,1.79663816
b0684,-0.329506998
b4388,-0.569556967
b2451,1.372578638
b3553,-0.513182621
b3119,4.517344301
b1905,-1.029515848
b2193,-0.710750776
b2330,-0.531022484
b3919,-0.693819239
b2740,0.827972434
b2269,1.330254024
b3718,0.902005568
b2452,1.479008711
b2339,2.624188499
b2211,-0.65895335
b4358,1.999082388
b1157,2.041986849
b0864,-0.937561865
b0947,-0.389124701
b0984,0.733933551
b0518,2.025483763
b3641,-0.444856614
b4100,2.33924763
b1456,1.09074922
b1854,-0.647263128
b2400,-0.544895459
b2271,2.108520121
b2630,-0.425181104
b0733,-0.502646042
b0102,-0.417385749
b3562,1.032876565
b3925,-0.688256577
b0628,-0.539594033
b3666,0.70499339
b1411,0.632852853
b1455,4.910466033
b3770,-0.734539194
b3590,-0.539351042
b3381,1.990661131
b1158,2.109124628
b4233,-0.364879514
b4038,1.448807443
b3876,1.32215465
b2358,5.023418586
b0674,-0.780602203
b0754,-0.538714837
b1876,-0.586404397
b4495,1.844556743
b2062,1.425337846
b4465,1.109536454
b2273,2.234613839
b0783,-0.554244622
b3900,2.014479761
b0341,0.994477723
b1464,-0.412717947
b1409,3.351808876
b3266,0.782970526
b0913,0.540352079
b3867,-0.418911976
b4572,1.363052581
b2699,-0.35871922
b3080,1.172661649
b0139,0.950053563
b4313,0.913315885
b4099,2.514450207
b2952,-0.382409659
b4586,1.700758494
b0888,-0.473421702
b2484,1.474436655
b3642,0.91578344
b1604,-0.472350916
b2233,0.333914677
b3577,3.455659046
b3684,1.187450317
b0343,1.233719572
b1319,2.570960255
b2854,2.89601455
b2418,-0.484553801
b1133,-0.641889276
b3347,-0.398510906
b2851,2.576586628
b2647,0.582873673
b3443,2.246804197
b2386,1.517171135
b1623,-0.486632763
b0772,-0.547608821
b3384,-0.32518776
b2848,1.915396297
b0648,1.314911091
b3244,-0.406387288
b1690,1.503293364
b2481,1.788316709
b2576,-0.625105182
b2933,1.614971741
b0914,-0.552416529
b1215,-0.475508458
b2221,1.479578489
b2047,1.159133147
b0045,1.983498879
b4644,2.178978335
b2771,1.583061283
b0292,1.560941777
b3584,0.986734939
b1802,1.217238786
b3324,1.161051171
b2922,-0.37902402
b3393,1.531533144
b0229,1.078605917
b1153,2.295363584
b1503,1.918519422
b3640,-0.362108826
b3881,0.875305728
b1866,-0.410645869
b2849,2.605586944
b0136,1.705269426
b4500,0.874024021
b2121,1.263672637
b2569,-0.527905763
b3526,-0.414617419
b0197,-0.364425582
b3643,-0.754377959
b0135,1.248570775
b3483,1.264288649
b3738,-0.5003142
b0930,-0.42145944
b2871,0.823642876
b3843,-0.270950436
b3062,1.91005795
b2453,1.493997618
b3907,1.256260534
b1372,1.102413966
b0335,1.068767205
b1851,-0.428408193
b3115,1.113850926
b3702,-0.473336761
b2309,-0.514860105
b4101,2.770835193
b3741,-0.505099533
b3709,0.946328716
b2357,3.384353624
b2483,1.165236804
b2595,-0.409007368
b3507,0.966690814
b2887,1.012424391
b3086,1.081929506
b4049,-0.421841529
b3962,-0.451029639
b1337,0.68164446
b2970,1.726970186
b3691,1.214876215
b0996,1.396851923
b3376,0.989190011
b3586,1.209137672
b3965,-0.40755415
b1637,-0.385575437
b3380,1.191716843
b0501,1.658846416
b4308,0.891991713
b2850,1.467864078
b2171,-0.690389711
b0116,-0.443795678
b1166,1.858175093
b3999,-0.338065805
b0276,0.476620949
b3265,1.578278601
b2635,2.026449782
b3150,-0.391307614
b2161,1.255156483
b1621,-0.354319135
b2478,-0.357608842
b1749,-0.397543904
b1116,-0.368127344
b4102,2.47769766
b2355,2.041804102
b4106,2.427265093
b2335,1.42318837
b4130,0.623224184
b1850,-0.410089819
b4097,1.838860499
b4208,-0.322519049
b1101,-0.482120088
b0295,1.491392121
b1388,1.38763463
b4657,0.864781895
b2385,1.398960397
b3334,0.970565033
b3657,1.082908588
b4401,-0.403934098
b0547,1.49760986
b2971,1.726931035
b4120,0.512117563
b1460,1.955789531
b0386,-0.473617858
b2223,1.626279636
b2234,-0.711277289
b3228,-0.357772075
b3482,0.777950038
b3215,1.217513883
b2050,0.800735757
b0784,-0.469305877
b2486,0.885922059
b2226,1.012301197
b0561,1.172754275
b1212,-0.528781786
b2222,2.425234488
b4052,-0.419991238
b0333,1.430351435
b3680,0.800913532
b3072,0.75759385
b1115,0.797304506
b4506,4.316475435
b1154,1.311598695
b0645,2.105629993
b2984,1.822666756
b4184,1.525531222
b0531,1.558150996
b0112,-0.450509558
b3178,-0.317681391
b1338,0.798952077
b1757,-0.815739435
b3149,-0.257794904
b0681,0.934624043
b4131,1.18982581
b3076,1.075574408
b4186,1.199575344
b1767,-0.426984338
b3897,1.166500569
b3942,-0.654050566
b1075,-1.011907752
b0432,-0.580798547
b3719,1.09584172
b0549,2.199788169
b0986,1.34941151
b4622,2.412434669
b1662,-0.437766204
b2296,-0.651194175
b2930,1.162365239
b2846,0.928172565
b4615,2.739305662
b4335,-0.915056495
b3778,-0.365710432
b3061,1.864019954
b3634,-0.694981396
b0193,0.4757115
b0618,0.856418756
b2859,1.617555442
b0141,2.466549638
b4661,0.788695611
b0287,-0.416631326
b1264,-0.391610745
b2710,0.886286808
b4021,-0.595217247
b2778,1.726569588
b2286,-0.573899807
b3888,-0.349088949
b2072,1.492589402
b2985,1.327271718
b3997,-0.337162723
b1815,0.559075115
b1816,-0.326474536
b0314,0.594562946
b3818,1.608427953
b2294,-0.503299242
b0296,4.390099786
b0230,0.910774367
b0820,-0.498268586
b0985,1.279640955
b2270,0.744655133
b4316,-0.690150125
b3441,-0.473781726
b3697,-0.392600393
b2356,2.313502547
b3613,-0.380430193
b0301,1.250725493
b3368,-0.572071808
b2199,-0.852924908
b2879,0.982027445
b3158,-0.902608573
b0688,-0.381396574
b0042,1.641521696
b1889,0.964272641
b3392,1.273785911
b3374,0.58953253
b2241,1.092315584
b0477,-0.481085528
b2361,1.873460479
b2953,-0.385562093
b0319,1.375282126
b0544,1.666579171
b3649,-0.25254338
b0649,0.845791878
b4160,-0.336267904
b1952,0.499037048
b2758,0.572467679
b0166,-0.385091146
b2581,-0.558661295
b3591,-0.494328626
b0617,1.418880366
b3331,0.930101728
b2383,0.730953669
b3686,0.723163406
b2700,-0.424059783
b3030,-0.351144972
b1121,1.162893023
b3195,-0.297920271
b0108,1.30014814
b1028,2.251637036
b4232,-0.529057902
b2110,1.678481973
b2447,1.075553515
b3422,0.658865692
b0614,1.600758778
b1351,1.618766616
b2065,-0.343495629
b4041,-0.398445293
b2489,0.736722785
b3066,-0.484105443
b0028,-0.365283169
b2066,-0.53377001
b1026,0.594966418
b4080,1.720804973
b1160,1.273813798
b3190,-0.346552647
b2027,-0.601158734
b0939,1.384162688
b2139,1.384055327
b1350,0.818220505
b2115,0.918164017
b2914,-0.416966706
b2118,0.685345433
b3745,-0.455637855
b3847,-0.371378172
b0929,-0.455397537
b2224,1.107920858
b3478,1.299037835
b2073,0.981247191
b1704,-0.443503647
b2950,0.851128581
b3426,0.967049748
b2491,0.767519255
b3949,0.934404305
b2248,0.83267608
b0463,-0.373690581
b2547,0.926831307
b3944,1.009308221
b3253,-0.487052765
b0054,-0.348289599
b2316,-0.350982363
b2701,-0.51714338
b4207,-0.447059622
b2114,-0.476186641
b4395,-0.301226364
b1457,0.953150051
b2029,-0.422566632
b3544,-0.372103193
b3935,-0.405536306
b2077,0.911526393
b2454,1.624170915
b0277,0.599032155
b0227,0.860672587
b0140,1.934194234
b0161,-0.342938093
b0041,1.290450341
b4309,0.936895618
b0967,-0.395001447
b0154,-0.351640764
b0647,1.88013628
b2277,-0.555419319
b1560,0.992052268
b0697,0.978337765
b3216,0.815839289
b0705,0.785036643
b2947,-0.319419149
b2935,-0.481434929
b0887,-0.287096369
b2498,-0.74293452
b3927,0.954369284
b4311,0.983704877
b3002,-0.394974779
b3227,1.109396011
b3388,-0.380479331
b0029,-0.374185341
b0896,-0.613271606
b3135,0.883667753
b0013,1.13925103
b1606,-0.327673742
b3405,-0.372199601
b0138,1.351486742
b4334,-0.713006473
b0181,-0.405176112
b3950,0.96708799
b4238,-0.737315154
b2870,1.273437785
b3147,-0.373168684
b0931,-0.493000929
b1832,-0.402010704
b0369,-0.38682188
b0922,-0.320930864
b3391,0.705954138
b0321,1.044668346
b0320,1.185215519
b3389,-0.365871649
b1860,-0.280476543
b2057,1.084462473
b3325,0.571176408
b1810,-0.386709799
b3198,-0.236104543
b0961,-0.538314458
b1576,2.539758018
b2229,1.521314776
b1386,0.978549565
b1864,-0.354625633
b3104,0.956164604
b0434,-0.678230903
b4074,1.229840864
b3543,-0.424981227
b3678,0.72695081
b0222,-0.45365736
b1766,-0.330099871
b4508,1.355760027
b2119,1.222341055
b1161,1.498006981
b1023,0.727274702
b1486,1.210710906
b1390,1.431575753
b4471,0.642812168
b3961,-0.330298584
b4048,1.300423161
b0613,1.355700018
b2059,1.04428
b0512,0.814521825
b0416,-0.349349906
b0575,0.96340888
b0655,-0.411795576
b1363,0.415873374
b1744,1.022889832
b1751,-0.929822065
b4161,-0.365133708
b0874,-0.638308231
b1254,-0.368739241
b4579,1.110599055
b3589,1.488053988
b4095,1.713942075
b3114,0.649505945
b1410,0.914245198
b4328,-0.394403392
b3593,0.699961033
b0948,-0.579800829
b2004,0.751605056
b3464,-0.302156179
b2113,-0.427038158
b0381,-0.287209473
b3951,0.521997826
b0323,0.99403203
b0550,2.24084941
b3013,0.680914874
b0732,0.354997508
b1185,-0.482685999
b1999,0.536504482
b2996,-0.844817066
b0127,-0.351248278
b0405,-0.587109951
b2760,0.776012517
b0478,-0.313454939
b2845,0.812978518
b2554,-0.249000649
b2268,-0.325847625
b3705,-0.537265284
b1830,-0.361135449
b4556,1.116223564
b0934,1.059938096
b3639,-0.365139672
b1873,1.030380276
b2770,0.883857143
b0508,1.271740753
b2232,-0.383350196
b0270,0.950250698
b1383,0.40474214
b1147,0.979209483
b0497,0.392997636
b4482,0.987087928
b0402,-0.561876852
b2648,2.123151339
b3675,0.432868306
b1657,-0.333342525
b2898,-0.285264065
b4182,1.009824331
b1407,1.102757035
b0358,0.882354696
b0954,-0.405448868
b1867,-0.322692619
b1074,-0.977822493
b0421,-0.340024811
b2918,1.091538586
b3075,-0.450052228
b3611,-0.293282917
b1835,-0.446977955
b3865,-0.364520329
b1497,1.145205855
b2737,0.775785803
b1913,-0.335782272
b3744,-0.853984745
b1108,-0.466963998
b2810,-0.294784846
b4152,-0.707672521
b0703,0.560039594
b2954,-0.38357752
b4192,0.510705414
b1196,1.114107397
b3477,1.082184093
b2566,-0.513492989
b4087,1.075758691
b3041,-0.324752112
b2534,0.86389962
b1880,1.113075956
b1539,-0.359881899
b1693,-0.386966519
b2393,-0.514170138
b3869,-0.361594028
b1412,-0.45297536
b1010,1.150035386
b1862,0.862208441
b2319,-0.315508192
b0576,-0.65251534
b1022,0.81463378
b3615,0.953173518
b3947,0.840633781
b2727,-0.703901125
b4094,1.217806167
b3612,-0.662560728
b2300,-0.330344575
b0737,-0.614533339
b1831,-0.399866358
b1324,-0.287039334
b4682,2.753869382
b2563,-0.378295928
b1128,-0.367959162
b1391,1.097943295
b4602,-0.458299401
b0107,0.381128491
b4082,0.931845088
b1453,0.54372804
b0406,-0.393443708
b1861,-0.267538457
b2132,-0.360516514
b1804,-0.396863661
b0011,0.914349037
b0509,0.986024945
b2458,0.871940355
b0970,-0.361562385
b3046,0.926439062
b3235,-0.356007436
b0787,0.748949114
b0339,0.543643047
b3201,-0.302107773
b2564,-0.440248696
b1506,2.068036867
b0439,-0.299081301
b2456,1.494157937
b0034,-0.536469367
b1554,1.102390852
b3882,1.400782266
b3141,1.356802289
b0767,-0.3427342
b4279,0.497103746
b2455,1.383509109
b1395,0.596919808
b0782,-0.48616339
b1499,1.367834142
b4509,2.0300893
b1207,-0.486811195
b1752,-0.692695524
b0602,0.96636064
b2482,1.226391081
b4345,0.937619469
b0326,1.812000833
b0943,0.669252732
b3476,1.027963826
b1973,4.437460826
b3849,-0.226636579
b0143,-0.544197174
b0217,1.121492856
b2002,0.483084233
b2987,0.909893429
b2225,0.899988086
b1360,0.872553247
b1034,-0.27965133
b4180,-0.269868555
b1365,1.172085671
b2516,-0.259887631
b0824,1.057111959
b3377,0.8368177
b0145,-0.310055184
b1782,-0.496027117
b3139,1.409371968
b0097,-0.295306258
b0159,-0.305375538
b3769,-0.652512855
b1588,-0.664044863
b4696,0.670500587
b2997,-0.732015501
b4496,0.523014709
b0895,-0.752216546
b4036,-0.678654779
b3581,1.069195446
b0525,-0.409989302
b1184,0.84051901
b0616,1.173590107
b0977,0.720044255
b0415,-0.335494927
b0289,0.545423262
b0680,-0.407966119
b2329,-0.41611339
b1852,-0.338869119
b0179,-0.266504977
b1127,-0.565822395
b0539,0.97080602
b2643,1.011873239
b1078,-0.846101804
b0877,-0.471559479
b3357,-0.489833173
b0106,0.711888314
b1579,0.623333095
b2754,0.332426512
b3931,-0.367820661
b4277,1.056610818
b0534,1.176234577
b2881,0.502972367
b3367,-0.93386831
b3583,0.714747015
b3879,1.283383991
b2443,0.433522207
b0149,-0.270532801
b2862,0.531396009
b4231,0.625112081
b4260,-0.374369503
b2048,0.743388075
b3214,-0.497332127
b0521,0.851657087
b1200,-0.445976927
b4359,-0.552486177
b2905,-0.695516442
b0470,-0.266394144
b3834,-0.264084146
b1682,0.462372079
b2890,-0.463294307
b3229,-0.344074304
b4054,-0.326409903
b3160,-0.391079155
b3609,-0.267254683
b4153,-0.734272058
b0507,0.638382575
b4042,-0.481571377
b1875,-0.251335148
b3725,-0.267351495
b0563,1.206827302
b1489,0.644338031
b4620,0.850272829
b3998,-0.315022194
b3861,0.804428009
b4284,0.326959198
b0646,0.983810948
b1710,-0.262017032
b2010,0.363305304
b1796,0.918237371
b3328,0.943718518
b0863,-0.793209545
b1730,1.566830178
b1616,0.817166444
b3288,-0.2986593
b1543,0.630266645
b0131,-0.388977793
b2915,0.867094534
b2553,-0.354905736
b3144,0.398603712
b2162,1.156538504
b0588,-0.267405961
b3461,-0.363245733
b3932,-0.368482281
b4379,-0.652054167
b3091,-0.316046579
b3052,-0.210734369
b1103,-0.363421599
b0284,0.674530925
b0951,-0.225680019
b3908,-0.444687219
b1095,-0.332471749
b3146,-0.341850083
b3563,1.094746067
b4017,0.730316534
b1663,-0.517967895
b0080,-0.41547042
b1656,-0.644821224
b1313,0.689296757
b3690,0.986809825
b3271,0.609134139
b3064,-0.46345233
b1165,1.274857169
b2626,2.013924954
b2420,0.365679044
b3194,-0.242990431
b2049,0.666294541
b2346,-0.308461724
b1504,2.11698199
b2690,-0.357892225
b3558,1.000431056
b3981,-0.312574831
b2813,-0.382194535
b4202,-0.411069552
b1316,0.694581193
b4200,-0.405908033
b1769,0.880245311
b2836,-0.321169166
b3706,-0.360555178
b0492,-0.323334675
b2794,-0.341298282
b1168,0.735148138
b2495,-0.282062257
b3329,1.095373159
b3182,-0.386069564
b0254,0.54687704
b0827,-0.304068941
b3156,-0.410666221
b4304,0.561465563
b1575,1.651730264
b2334,1.148761118
b4198,0.520862879
b1884,0.807241799
b1392,0.875983698
b2994,-0.68572766
b3811,-0.195281381
b2301,-0.363505913
b2913,-0.387882218
b3648,-0.272828571
b2526,-0.308096196
b0043,1.218778786
b0927,-0.23359002
b1214,-0.279924185
b3136,0.776165725
b1404,0.298277494
b3498,-0.304261015
b2276,-0.533629933
b1235,-0.207492709
b0562,0.874909879
b2948,-0.265719534
b3027,1.185428552
b3699,-0.344403878
b2096,-0.280896217
b3587,1.897924877
b2684,-0.364361101
b3633,-0.469401778
b1073,-0.886052742
b0196,-0.52110335
b2469,-0.319846335
b2344,-0.622400618
b2183,-0.308458693
b4151,-0.631401865
b2472,-0.296917181
b1348,1.466923853
b4234,-0.302531579
b4469,-0.663683405
b0121,-0.403878292
b1888,0.490914951
b3172,-0.696422366
b2945,0.777895374
b1723,-0.303014447
b1068,-0.21364024
b4630,2.896603488
b0061,1.213991769
b0657,-0.322535901
b0607,-0.474331744
b0982,0.708349684
b0025,-0.285818858
b4157,0.949646174
b1680,0.417561145
b1797,1.01748686
b0340,0.93809306
b3192,-0.26837941
b2407,1.095304219
b2789,1.02097135
b3418,-0.358520291
b3416,-0.337085434
b2408,0.725002961
b1104,-0.38261523
b2728,-0.756080686
b4478,0.724813688
b3479,0.896632447
b3722,0.72795327
b0567,0.897880171
b1352,2.020175049
b2262,-0.489761377
b0945,-0.595079102
b0572,1.265195612
b3542,-0.434743865
b3327,0.8040655
b0223,-0.251500928
b4201,-0.410489138
b4215,1.025920449
b1192,-0.307271729
b0893,-0.38514014
b4419,-0.438395903
b2460,0.850220102
b3295,-0.324688921
b3572,-0.321937695
b3783,-0.419317482
b3937,0.666379728
b3186,-0.431434545
b0096,-0.28540102
b3365,-0.984321391
b3371,0.68818824
b0263,0.819645899
b0937,0.818049991
b0401,-0.420118697
b0740,-0.314667126
b2016,-0.309501573
b2946,-0.219023598
b4243,-0.331487347
b3896,0.904224726
b4341,1.643319254
b1418,-0.403640146
b2384,1.187144149
b1368,0.798095334
b2878,0.639968349
b4000,-0.353008352
b3151,-0.464042337
b2467,-0.287182847
b2376,0.535255976
b2567,-0.367018843
b0444,-0.277153477
b1204,-0.429170724
b0117,0.663160347
b4700,1.430581179
b0654,-0.31366067
b3955,-0.377847842
b2207,-1.151878066
b3898,0.673087285
b1681,0.441875349
b2919,0.687379968
b0260,0.702621584
b3394,1.08815631
b2373,0.761442672
b4031,0.542486131
b2687,-0.314889842
b1136,-0.398744399
b0168,-0.335849437
b1837,0.308326141
b4621,2.012883082
b3433,-0.337083159
b2734,1.320558844
b0385,0.612342037
b3366,-0.918739014
b2488,0.638237256
b0044,1.848120919
b2776,0.561266604
b4333,0.732092021
b3234,-0.417617189
b0548,2.097057928
b2431,-0.512994224
b4594,1.037613998
b4541,1.834422052
b2198,-0.748046322
b4463,1.012163145
b3664,0.889382969
b2765,-0.516564427
b1225,-0.87489539
b4363,0.671978388
b3520,0.472719007
b3860,-0.317568137
b3180,-0.278470292
b2359,0.801516025
b0218,1.322195821
b3341,-0.399744806
b3765,0.408507947
b4058,-0.28275584
b2045,0.566423469
b2070,0.455921848
b1673,0.914834565
b2872,0.584981301
b3646,0.761639724
b3138,1.229741103
b3200,-0.262882057
b0074,-0.529556136
b4349,-0.376153621
b3980,-0.37200252
b0195,-0.406917358
b3236,-0.36079312
b3823,-0.286274619
b0241,0.921990223
b3713,-0.36071205
b1775,0.870923378
b3493,-0.553551996
b4347,0.571127506
b0551,0.727701689
b1479,-0.31994265
b0006,-0.267217219
b0919,-0.797957071
b0809,-0.515335357
b0290,0.339531476
b1559,0.330433621
b0059,-0.702244601
b3063,0.750627197
b0620,-0.436025889
b0520,0.94016346
b0134,-0.40240839
b2939,-0.628884813
b1937,0.618907471
b3401,-0.282355479
b0842,-0.331522717
b4526,2.163584151
b0247,0.828188367
b3296,-0.299189961
