Blattner,log2FC(yggS/WT_20nM PN)
b3296,-0.156653975
b3530,-0.109569827
b4213,-0.15219049
b0262,0.130266611
b4084,0.035573926
b0815,-0.096841317
b0819,-0.206084332
b3491,0.238452579
b1824,-0.255210943
b2480,0.232890821
b2934,0.266232148
b4010,-0.116444765
b0853,-0.035607156
b3237,0.055644582
b3964,-0.107609084
b0355,-0.035181593
b0840,-0.013152125
b3871,-0.630669848
b1286,-0.675344065
b1679,0.006924377
b1312,0.57535639
b1874,-0.200463124
b1928,0.158207125
b1872,0.39308874
b0763,-0.146151555
b3966,-0.260906768
b2076,0.278747997
b0172,0.257431908
b2054,-0.098896103
b0278,0.151282892
b4286,0.448376085
b0317,0.375510876
b2204,-0.224413161
b1790,0.278534428
b2078,0.016235535
b0801,-0.125345977
b1389,0.176209521
b3560,0.098227521
b3952,0.198806668
b3822,-0.500312825
b2107,0.118733489
b4197,0.0504
b1378,-0.370155547
b4143,-0.908412183
b1468,0.147102877
b2708,-0.073076554
b1638,-0.205658188
b1126,-0.591188726
b1187,0.021371454
b2406,0.258084714
b2208,0.284404903
b0785,0.387023861
b1702,0.503406792
b2788,0.647190831
b2246,0.171433915
b2902,0.746994736
b0691,0.583385138
b3037,-0.058253933
b3673,0.46423095
b4501,0.4820369
b1603,-0.290154931
b2834,-0.091662955
b3270,0.191759056
b0486,-0.063623693
b1699,0.155452337
b1706,-0.120817281
b3729,0.049819434
b2551,-0.527734906
b4380,-0.666222549
b4158,0.446192059
b4300,0.346333576
b4699,0.192591717
b2345,0.069278091
b4652,1.606446253
b4034,0.216232677
b4181,0.339712264
b1791,0.191501781
b2203,-0.414977786
b2336,0.244685149
b3281,-0.080821281
b2882,0.538923673
b0935,0.449845471
b4175,-0.374247105
b3985,-0.017185424
b1516,0.13712086
b2064,-0.129655763
b0910,-0.06689695
b4628,0.342627471
b2998,0.448394967
b1547,0.431934457
b0364,-0.01491181
b1809,-0.370037833
b3870,-1.124908432
b3525,0.561443023
b3185,-0.362370788
b3257,-0.146340195
b0156,0.273448309
b1801,0.372052133
b3126,0.393258174
b2968,0.086647112
b2247,-0.184334283
b3737,-0.150095052
b4671,0.627489509
b4548,0.340115009
b3554,0.127917211
b1353,0.143398923
b3363,0.157842904
b1408,0.809904612
b2278,-0.029182214
b0423,-0.749358184
b0560,0.447809762
b0902,-0.105706445
b1948,0.550849359
b4371,-0.396677455
b2197,-0.833945643
b0151,-0.223442965
b1761,-0.778276793
b0918,0.095445745
b3973,-0.264209174
b2983,0.213943614
b4155,-0.514091077
b3378,0.610667986
b4649,0.703760982
b0709,-0.65395962
b1684,0.030044871
b2703,-0.126541329
b2190,0.319868846
b2961,-0.081172023
b4616,0.610456988
b2494,0.061220233
b3978,-0.177945971
b3821,-0.17986803
b1577,-0.0898143
b3880,0.160769331
b2206,-0.083613391
b3780,-0.313173289
b0235,0.828133048
b1178,-0.752059247
b3901,0.701342991
b2230,0.269365007
b2574,-0.49287967
b4206,0.25416337
b3226,-0.065708045
b1269,-0.108323836
b1931,0.068745914
b1728,0.560685281
b3979,-0.108771931
b1885,0.453484189
b0137,0.468125343
b0174,-0.188238441
b1209,-0.140851478
b2034,-0.433742856
b1683,-0.048867751
b0312,0.425632812
b3805,-0.219019163
b1284,0.17512011
b1472,1.589488488
b0637,-0.004766751
b0756,-0.128276761
b0608,0.158896615
b3100,-0.051458212
b0716,0.818576504
b1529,0.056657159
b2274,0.302416695
b1436,0.214869825
b3164,-0.140701479
b4555,0.838916458
b2503,-0.010033587
b0109,-0.120708349
b1335,0.202012357
b3145,0.28756345
b3750,-0.821690576
b3781,-0.018916613
b0294,0.013137409
b1281,-0.353802368
b4514,0.105651007
b1787,-0.133180645
b2444,0.383492895
b2265,-0.142286028
b1132,-0.644503561
b1856,-1.380483919
b3332,0.156443736
b1295,0.082641607
b2688,-0.113403903
b0822,0.011537957
b0231,0.134728031
b3533,0.157962814
b2201,-0.159846736
b1490,0.463977227
b0303,0.619310478
b0437,-0.177423891
b2977,0.54458739
b4226,-0.494544883
b4442,-0.147435271
b0180,-0.157460987
b2938,-0.308863047
b1385,0.050281945
b2332,0.195397927
b2321,-0.19283804
b3342,-0.262600176
b3974,-0.207396872
b2784,-0.076359596
b3176,-0.080455906
b4677,2.064144808
b2299,0.068434795
b0283,0.223919287
b1495,-0.283028481
b4193,0.401246428
b3322,0.314490184
b0271,-0.058001696
b0408,-0.23546556
b0920,0.109826935
b1568,0.559056811
b2769,0.350191566
b2411,-0.209587366
b4394,-0.042547482
b0417,-0.230389093
b2518,0.580312993
b3573,-0.185916692
b1148,0.301748433
b0354,-0.168178547
b2133,-0.198823278
b4162,-0.10118334
b0766,-0.210149591
b1701,0.234616113
b0615,-0.387485946
b2874,0.135770276
b3269,0.654893288
b1774,-0.302203083
b0741,-0.273037405
b1759,0.021904619
b2479,0.180569279
b1323,-0.30595346
b2883,0.053772041
b0068,-0.460310532
b2205,-0.155359079
b2721,-0.33003544
b3574,-0.264794334
b1817,-0.664286843
b0629,0.146321507
b1670,0.387438591
b2937,-0.064998665
b1318,-0.219713566
b4253,-0.040179211
b1900,0.307462814
b4043,-0.019367156
b2202,-0.210531547
b1454,0.834367169
b1467,0.052357079
b2343,-0.354482603
b3667,0.143395589
b4653,0.726801089
b0234,0.316788633
b4173,-0.075524154
b4713,-0.042453942
b2412,0.056938393
b1838,0.517975608
b2641,0.191965336
b3472,-0.222285961
b4678,-0.117887628
b0933,0.102094303
b4623,0.176214082
b3747,-0.180394735
b1538,-0.14984028
b4634,0.599185882
b0717,0.667932631
b3438,0.13833611
b4608,0.817431412
b1883,0.115392197
b0823,-0.004196725
b0696,0.210408812
b2726,-0.250860393
b4415,0.13361379
b1008,0.136291458
b4307,-0.147249111
b3400,-0.313771608
b2620,0.250035228
b1695,-0.106702621
b0926,-0.08395173
b3531,-0.017744521
b4502,-0.112707343
b4684,1.447781241
b3984,-0.547260266
b1227,-0.182726067
b3529,-0.18431735
b4177,-0.47933537
b1274,-0.554356774
b1742,0.253195578
b0414,-0.161160968
b0727,0.38412492
b1570,0.184385225
b1985,0.185127915
b2209,0.203482937
b2611,0.138244715
b0175,-0.20069207
G0-10738,0.032522811
b3771,0.557820675
b0834,0.241037705
b2231,-0.534542434
b3523,0.193096922
b2972,0.6362086
b0619,0.179535648
b1156,0.233573796
b1226,-0.156243102
b3379,0.049804785
b2435,-0.289968144
b3971,-0.388097823
b0438,-0.110194551
b0237,-0.509084785
b3157,-0.119247076
b1561,0.239148577
b4295,-0.024963564
b0571,0.119291255
b0781,0.331496925
b2522,-0.080514855
b1006,0.091598314
b0719,0.121609425
b3541,-0.475937591
b0839,0.142614721
b2920,0.168881974
b3786,-0.094028767
b0788,0.482147913
b1857,-2.247302429
b4296,0.308661412
b4014,0.219335414
b1754,-0.479808508
b0383,0.419416928
b0642,-0.32977221
b3077,0.261498026
b4265,0.274654226
b3726,0.410364822
b1041,-0.338299822
b0660,-0.211925893
b4332,0.29922432
b3395,-0.115434057
b4329,-0.267374305
b1043,0.705069126
b1771,-0.248159437
b1624,-0.178909514
b1377,0.365053778
b0345,-0.164288006
b4701,0.900325422
b2711,0.34101568
b0941,0.518347418
b1222,-0.057847056
b0513,0.126961343
b2892,-0.229309588
b0410,0.104756919
b3273,0.19480621
b3309,-0.298358167
b0862,-0.428439985
b2365,0.115013192
b4481,-0.736760074
b3463,-0.232306215
b2092,-1.318727323
b1336,0.059929185
b1487,0.533507013
b3159,-0.085904879
b2512,-0.250054166
b3582,-0.084561832
b4601,0.995535507
b0568,-0.058591706
b3417,-0.02453791
b3916,-0.59342522
b0246,0.341379199
b2940,-0.244371497
b1125,-0.599187328
b3575,0.07671388
b3934,-0.076267428
b4199,0.632165722
b4580,0.515286054
b1093,-0.103532238
b2780,-0.207487841
b3279,-0.185239
b0553,-0.202821897
b1753,-0.251252702
b2761,0.085685751
b2293,-0.500102777
b2131,0.535777298
b2157,0.024784205
b1376,0.413707371
b2632,0.232721997
b1346,-0.156266802
b1617,-0.102793012
b2897,0.079779595
b3346,0.017927883
b2906,-0.353408149
b2796,-0.801778139
b0008,-0.03340282
b0178,-0.166916742
b0545,-0.033171426
b4122,-0.902656044
b2981,0.329005886
b3540,-0.531666431
b0524,-0.456603369
b2960,-0.024172748
b1870,-0.080108424
b1466,-0.341306663
b3850,-0.175100583
b1344,-0.278565701
b1593,-0.226530342
b1807,-0.401469967
b2186,-0.237337689
b1951,0.39688161
b2375,-0.240373314
b1823,-0.241627551
b2445,0.201276944
b0792,0.078256906
b3211,0.02501701
b4570,0.395076373
b1014,0.461188377
b3958,-0.598048704
b2283,-0.2735542
b4079,-0.812751789
b2001,0.456545994
b4475,0.1367999
b1828,-0.429566638
b3048,0.362090188
b3140,-0.094052277
b2908,-0.354592003
b3023,0.360305814
b1193,-0.055714432
b4492,0.205531666
b1930,-0.474354678
b2297,-0.949053844
b3199,0.14798255
b4375,-0.44196986
b1789,-0.203557655
b2490,0.196541893
b2951,-1.00027543
b4086,0.085775411
b4294,0.368843608
b3340,-0.305099939
b4459,0.424270496
b3972,-0.046914623
b3173,0.348052415
b0205,0.337014288
b1794,-0.1107387
b3803,-0.047247099
b4204,0.178061584
b3262,0.101447006
b1224,-0.241549521
b4503,0.181838367
b4146,-0.022249199
b3359,-0.439090167
b3647,0.296020832
b2410,-0.268374542
b4477,-0.101150221
b2623,0.131142048
b1645,0.15692409
b2033,-0.352994001
b4356,0.176831863
b1747,-0.053614853
b4576,0.273750515
b2459,0.232411225
b3732,-0.357069872
b4423,-0.225827544
b4392,-0.091562818
b3241,0.462394446
b3028,0.075383084
b3734,-0.239634052
b4484,-0.231911034
b4019,-0.310573217
b3825,-0.078359149
b1105,-0.098785778
b3559,-0.307736638
b1846,-0.171817689
b1871,-0.164941302
b2759,0.178803144
b4461,-0.118089852
b3658,0.915714802
b3724,0.181249947
b2603,0.333674465
b3020,-0.442080765
b0224,0.085513187
b3019,-0.455330263
b4648,0.689366691
b3338,0.107706577
b2965,-0.076545028
b3989,0.5031727
b2988,-0.204122966
b3451,0.202961869
b0365,0.013261695
b3310,-0.345450217
b1949,0.732741276
b4075,0.671973263
b0530,0.026630501
b1886,0.355129506
b2959,-0.036473294
b3499,-0.185734854
b1058,1.028082287
b0118,0.327729359
b3092,-0.421521477
b3098,-0.109121019
b0621,-0.604675407
b0128,-0.068767559
b1255,-0.204993159
b0651,-0.334605539
b2044,0.050373761
b2257,0.261174969
b3099,-0.07839809
b2966,-0.055559395
b3983,-0.539427259
b4033,0.122596191
b3410,-0.680836
b2625,1.586536938
b4224,0.212316642
b3339,-0.390298355
b3447,-0.383623958
b0963,-0.416874507
b2791,-0.150783962
b3170,-0.067678321
b3018,0.303345892
b2689,0.119531591
b1317,0.289859564
b2949,-0.050196872
b2279,0.063968385
b0189,0.2179695
b1097,0.033020638
b3127,0.838664231
b1267,-0.219442505
b2487,-0.148129677
b3785,-0.224210917
b2515,-0.197705479
b0353,0.209595343
b3605,0.40890798
b3446,0.077126828
b0367,0.06034238
b1826,-0.085361785
b0101,-0.339840306
b1622,-0.23966193
b3905,0.225194387
b0091,-0.501799631
b0797,-0.363739323
b0574,0.173947598
b1107,-0.079019327
b3026,0.059974798
b2577,0.139658724
b2663,0.208738674
b2828,-0.107980469
b3636,-0.20449685
b0889,-0.468735416
b4037,-0.185555794
b2156,-0.927753799
b0436,-0.579314741
b2291,0.004343508
b3752,-0.285411051
b4674,0
b1296,0.304671504
b3349,-0.260547783
b1892,0.098220028
b2652,0.795853645
b1175,-0.269171712
b2709,0.112571036
b4136,-0.218786965
b0481,0.091535081
b4567,-0.243188385
b3549,-0.11466144
b2360,-0.229577989
b2362,0.270719868
b3330,0.474572088
b4144,-0.09700784
b1535,-0.130974865
b3274,-0.765532452
b3736,-0.134859872
b3097,-0.00077478
b3386,-0.239353126
b1150,0.466615026
b1672,0.127085066
b3169,-0.155069837
b4636,0.626491069
b0811,-0.485652836
b1484,-0.254089201
b1015,0.132227586
b3193,-0.138381126
b3650,-0.275995662
b4077,-0.06800886
b1818,-0.874285849
b0760,-0.163234977
b0923,0.001255858
b0517,0.49025249
b2324,-0.409435265
b3733,-0.310352276
b1122,0.249610691
b4460,0.415512325
b3656,0.046447485
b1236,-0.365434276
b0998,0.055209787
b1634,-1.08360361
b1277,-0.278182396
b0990,0.036730432
b2083,0.114350455
b4409,0.147606145
b2509,-0.497724676
b3404,-0.217466932
b0833,0.229165628
b2629,0.323446648
b0983,0.200401614
b1485,0.191255574
b1613,-0.494415757
b3653,-0.414852934
b0424,-0.24152668
b4352,-0.143968613
b4486,0.325041074
b0188,-0.266700014
b2733,-0.354555503
b0493,-0.039780629
b4692,0.353824507
b1263,0.04061847
b1567,0.470612043
b1698,0.11117572
b2807,-0.119080418
b3723,0.795185109
b4059,-0.179175223
b0170,-0.286814473
b3282,0.023633431
b2093,-1.191676332
b3514,-0.433961306
b2422,0.346025342
b4331,0.056018694
b1844,-0.011311352
b0342,0.495183084
b4368,-0.048662261
b1587,-0.412903867
b0357,0.033610139
b3051,0.0914822
b3298,-0.103910166
b2446,0.241392617
b0759,-0.247507689
b3219,8.608841234
b2008,0.171691018
b2159,-0.1689299
b3801,0.369924937
b0433,-0.323803797
b2818,-0.67447415
b4314,-0.476311466
b4169,-0.087218452
b1581,-0.036337144
b0942,0.296088901
b1343,-0.562977596
b3089,-0.583657288
b3532,0.074253473
b1703,-0.260802669
b2097,-0.562976598
b1076,0.583662461
b2437,-0.026539283
b2506,0.907639949
b1641,-0.218187819
b3132,0.706301531
b0039,0.225420064
b3779,-0.299919414
b2893,-0.100049511
b3912,-0.043420615
b2200,-0.167289023
b0120,-0.018885886
b0515,-0.219945353
b0734,-0.26925702
b0726,0.519276235
b2493,0.010038609
b4312,0.20482724
b1009,-0.079566389
b1176,-0.050503029
b2485,-0.033881611
b1242,0.216616483
b3050,-0.098628748
b3256,-0.519742926
b2263,-0.311646382
b3564,0.580810787
b1256,-0.016452457
b4361,-0.006896107
b4603,1.60250288
b2240,0.230832732
b3124,0.118054597
b2637,0.583920849
b0403,-0.239423322
b0400,0.32020524
b0765,-0.181901255
b2284,-0.092459233
b2463,0.236248302
b0728,0.635523603
b0838,0.150671598
b2237,-0.116295075
b2533,0.178422601
b4340,0.720661071
b0169,-0.373368975
b2395,-0.487778233
b2646,0.97339883
b2069,-0.556316777
b0206,0.478700966
b3933,0.110900464
b1714,-0.529823611
b1117,-0.601269571
b0776,-0.068899076
b2610,-0.234154348
b4633,0.382914192
b4297,-0.104816834
b4476,-0.42398866
b0636,0.081591571
b3795,0.001896569
b4154,-0.344496296
b1233,-0.140071119
b3232,-0.363875517
b3812,0.060731762
b3481,0.209195942
b0026,-0.144061487
b2058,-0.201698209
b4565,0.188065691
b1308,-0.349208626
b0472,-0.098928816
b2808,-0.139063141
b3449,0.098055748
b4631,0.900914789
b1654,0.008578737
b0860,-0.626583345
b2588,0.524868893
b1038,-0.395234617
b0592,-0.62238095
b4646,0.391457051
b4427,1.874483571
b2594,-0.249117421
b0236,0.086000068
b3057,-0.101072536
b3308,-0.358921897
b1825,0.122692494
b2280,-0.010878831
b4550,0.329911092
b4022,0.080983467
b3637,-0.298025365
b3502,0.274379509
b2532,-0.247472099
b0909,0.053022054
b2511,-0.351575331
b2188,-0.312355357
b0529,-0.359273756
b3123,-0.474722749
b3807,-0.057523982
b0907,-0.633816836
b2095,-1.053757633
b2645,0.121390535
b3375,-0.103758748
b3134,0.14632001
b4266,0.077867795
b0611,0.063815254
b2976,0.368838681
b3802,-0.194191765
b3731,-0.321777991
b2720,0.049237771
b0729,0.638632025
b1746,0.005074187
b3452,0.39912908
b3480,0.177636754
b4449,-0.22129237
b0396,0.120427804
b3524,0.404581132
b0119,0.114946815
b1658,-0.593424974
b2377,0.017596738
b3259,-0.091195394
b0306,-0.384844828
b3385,-0.105499705
b1960,-0.411959117
b0305,0.805015948
b1907,-0.116754105
b3407,-0.488462671
b1671,0.141069043
b1268,0.304267894
b2916,-0.020601434
b1063,-0.134810843
b2051,0.117728771
b3297,-0.023714986
b3508,-0.578976008
b3595,0.625502572
b1748,-0.011768705
b3337,0.206345578
b1067,0.068183096
b4588,0.510947351
b1578,-0.020860801
b2751,-0.546058113
b3264,1.254396262
b2886,0.361440157
b1936,1.005982343
b0683,0.110193392
b2153,0.296315183
b2747,-0.13388516
b0095,-0.218110233
b1171,-0.390873728
b2904,0.976800033
b3764,-0.472239017
b2738,0.273316933
b1660,-0.504370549
b0031,-0.521434454
b3735,-0.144253188
b4420,-0.241700019
b4441,0.805946469
b2587,0.31544621
b0411,0.055850273
b1186,-0.499144062
b2134,0.061009968
b2323,0.21761169
b2992,-0.303376208
b1981,-0.370078888
b2750,0.125068326
b2546,0.158141451
b0826,-0.289891758
b1500,0.64593295
b3390,-0.003554527
b0610,0.341014731
b4117,-0.054213737
b2249,-0.160331001
b0048,0.469572457
b2702,-0.098803461
b3049,0.051178642
b1764,0.024387199
b1968,0.05364312
b4624,0.389438681
b3604,0.598486577
b3996,-0.091645036
b1441,0.331357173
b3067,-0.090790136
b0073,0.326470523
b4685,0.475598526
b0803,0.727637585
b4138,-0.638091399
b2149,0.681123108
b0870,-0.322022375
b3307,-0.309134747
b1650,-0.362823353
b0633,0.060952873
b1633,-0.334510982
b4337,0.286158041
b2544,-0.046417778
b3746,-0.134270159
b2387,0.00810167
b0808,0.09814079
b1249,-0.03395397
b3231,-0.409974868
b2390,0.193929357
b2801,0.322814319
b1778,0.266362992
b1259,-1.039967432
b4705,-0.093471861
b0911,-0.528297046
b1597,0.977116439
b0960,-0.396934062
b2005,-0.340130847
b3813,-0.295124028
b1033,-0.050401302
b4414,-0.314227554
b0552,-0.176551799
b1700,0.629198303
b0077,-0.314421734
b1276,0.561386028
b2003,0.209382605
b4438,-0.265725471
b3345,0.044102789
b0455,0.606439773
b0372,-0.043712112
b3469,0.223768573
b0722,0.700940969
b2374,-0.117856805
b4123,-0.863014445
b1708,0.262128041
b3751,-0.827526064
b3929,0.016008589
b4360,0.194436597
b2774,0.354342345
b3986,-0.03437914
b3708,-0.128998589
b4389,-0.297704668
b2550,0.069901778
b2349,0.033906215
b1806,-0.485165834
b3101,0.238789332
b0366,-0.51866331
b4065,0.027088638
b2755,0.224285373
b3856,0.372238443
b1599,0.367001898
b1927,0.048743514
b4466,0.343612121
b0912,0.210686228
b1473,-0.356718409
b1331,0.002601699
b0426,-0.380611674
b2055,-0.055891763
b0356,-0.044644031
b1307,0.594668912
b1674,0.277540234
b0591,-0.749015879
b4533,0.07521535
b4088,-0.623360447
b1737,0.070936905
b4639,1.122694893
b1430,-0.259059975
b4683,0.372397625
b0606,-0.468909163
b0750,-0.194850106
b0905,-0.465014019
b2955,-0.830436406
b4558,0.238578339
b3809,0.187678802
b1514,0.347812175
b2292,-0.085034913
b2847,-0.264079075
b4406,0.175834414
b0398,-0.471795818
b2762,0.969144582
b2106,-0.289215108
b1515,-0.063142842
b4219,-0.105423262
b3874,-0.344704049
b0994,-0.069807599
b2580,-0.213139096
b0810,-0.974885627
b1003,-0.075478303
b4062,-0.776573597
b0825,-0.068710254
b1891,0.022955409
b2982,0.000463136
b1548,0.013300509
b2285,-0.138442648
b1221,-0.348524641
b4400,0.298228733
b3070,-0.470349601
b4520,0.590507197
b0379,0.371160146
b1501,0.285178534
b2333,0.404316369
b1086,-0.237584663
b1722,0.530286768
b3162,-0.054734848
b0865,-0.020259711
b0981,-0.225814215
b3054,-0.099824884
b2697,-0.31712318
b3895,0.011329856
b0898,0.39863236
b2328,-0.185816293
b3551,-0.241398758
b1788,0.164959108
b0300,0.094887615
b1004,0.027190281
b2043,0.283212584
b0969,-0.164016565
b3500,-0.251551673
b0854,0.35818692
b1373,0.371548456
b1282,-0.179047308
b2264,-0.209758252
b3923,-0.027978801
b3957,-0.327148506
b4258,-0.311570921
b3819,0.130429451
b1982,-0.103718776
b0259,-0.088320386
b4488,-0.038979878
b4076,0.333269802
b2812,0.217530705
b3287,0.037265269
b0413,0.013966665
b0071,0.500981703
b3617,0.010829016
b4373,0.052663074
b2746,-0.138001553
b2261,-0.774150806
b2827,-0.237274256
b1223,-0.764871085
b2514,-0.171071097
b3938,-0.490607195
b0363,0.237898994
b0720,0.510664067
b4299,0.278559911
b4637,0.24164649
b2382,0.152322298
b0656,-0.005755456
b2388,-0.505118297
b0557,-0.749407956
b0004,0.706181751
b3272,-0.272345868
b3031,0.100011205
b1819,-0.894406743
b1779,-1.142438451
b2041,-0.174009802
b0465,-0.440248002
b1969,0.549050114
b4669,-0.051720121
b1847,0.215299993
b0650,0.306010467
b2749,0.473299811
b0111,0.026714392
b2817,-0.12972539
b2911,-0.064208824
b0882,0.204317233
b3772,0.859746882
b4372,0.09924279
b0599,-0.050219577
b0035,0.224094176
b0892,-0.145396832
b1275,-0.230676181
b3645,0.251378597
b4235,-0.168628333
b2565,-0.137367946
b3011,-2.059394446
b1555,0.539262735
b1234,0.125212091
b0130,0.348805449
b4096,0.171852153
b1301,0.321501782
b3434,-0.338823721
b3191,0.059493061
b0752,-0.066571903
b1521,-0.646600588
b2555,-0.13712264
b0420,-0.272025091
b1315,0.262062515
b1859,-1.056876689
b0115,0.13020872
b1164,0.964258763
b4112,-0.062143237
b4261,0.057049202
b4069,0.555325729
b0252,0.23489565
b2548,-0.248454329
b4355,0.051888918
b3022,0.387860813
b1325,-0.178597708
b0908,-0.540513547
b4032,-0.241750816
b3922,-0.026869604
b0894,-0.189529614
b2924,0.421889423
b3945,-0.433157446
b2166,0.576777411
b4362,0.295910195
b0971,0.493230139
b3056,-0.115117961
b1496,-0.396788104
b1719,-0.098600414
b3220,10.32613831
b3988,-0.341919081
b3883,0.022724305
b1027,-0.219945438
b1172,-0.386632107
b3546,-0.175007243
b3791,-0.750204743
b3800,0.240730975
b1878,0.256697473
b0989,0.850734068
b0569,0.24057402
b2599,-0.588998421
b4262,-0.194180413
b0053,-0.223916612
b0431,0.389546568
b1463,0.448734081
b2124,0.101679598
b1619,0.070476353
b2821,-0.240384626
b0844,-0.064305188
b4085,-0.295262961
b4001,-0.070698196
b0872,0.186822194
b0382,0.444774974
b3029,-0.092361952
b1890,0.528079971
b3585,0.036678324
b0269,-0.496295545
b1777,0.4039988
b2217,-0.108026556
b1865,-0.125067033
b3352,-0.391118066
b2251,0.149908742
b2363,0.303966065
b3940,-0.3163375
b0639,-0.086527928
b2009,0.249425072
b4510,-0.908449221
b3889,0.617878442
b4680,0.354875073
b0072,0.437297342
b4702,-0.074031488
b3040,0.05971906
b2022,-1.11735932
b3209,-0.119695997
b4383,-0.2298785
b3963,0.058655692
b4412,-0.706998818
b1402,-0.091962669
b2310,0.263800092
b4015,0.160114345
b1924,0.477085811
b0706,-0.266520961
b4402,0.166628445
b1163,0.429617589
b1394,-0.213450013
b2392,-0.172261136
b3197,-0.05577142
b4303,0.220474928
b0214,0.070141735
b1596,-0.091753785
b4225,0.275000913
b0129,0.264582895
b2867,0.185771221
b3597,1.374453395
b1208,-0.502093344
b0160,0.132390022
b0506,-0.139096657
b3567,0.742741528
b2829,-0.216748088
b1304,-0.184205764
b2787,0.096338754
b0757,-0.33341928
b0076,0.321006519
b1664,-0.012944447
b0735,-0.171004049
b0627,-0.32556796
b3655,-0.0179302
b4203,-0.285495592
b0327,0.344422518
b2568,-0.259329665
b4063,-0.053887543
