Blattner,Log2FC(yggS/WT 5µM)
b1211,0.350629946
b0238,1.721104815
b2649,-2.628435022
b4660,-2.575097692
b0469,0.98946226
b2042,0.507055965
b0526,0.44000657
b3504,-2.682851072
b1210,0.855019068
b3659,-2.074861644
b3078,-1.558402736
b3442,-3.028014675
b0185,0.780162706
b1471,-3.417488342
b4497,-1.63216929
b2109,-2.003647856
b3730,0.468074357
b0807,0.835597173
b2287,0.32074711
b1288,0.680024361
b1691,-3.443384249
b0632,0.514047151
b3679,-1.241322912
b3079,-2.839032639
b3578,-2.382931777
b3877,-1.51537229
b3875,-3.363704865
b2852,-2.180560274
b0104,0.635538443
b3784,0.390571767
b0297,-2.947546599
b2372,-1.527768178
b2122,-0.687607704
b0194,0.572132084
b1310,-1.433952556
b2549,-1.275812435
b3682,-1.199230959
b1029,-1.928793695
b2081,0.646439409
b3579,-2.2883319
b1615,-1.831513662
b4462,-2.57871882
b1152,-1.58717649
b2517,0.73856532
b0125,0.663330609
b1540,0.842031786
b2585,0.055465279
b3488,-1.514840959
b0267,-1.990918798
b3120,-2.071798295
b3423,0.534068954
b3816,0.739802808
b4583,-1.850532929
b2730,-0.399220706
b4027,-1.154389053
b2288,0.233026955
b3181,0.657210013
b4491,-0.316472854
b4651,-2.166665572
b2014,1.509501933
b0441,0.157459072
b0533,-3.596290974
b3326,-0.306054065
b3902,-2.130110549
b0770,-1.896997249
b0835,0.690689715
b0928,0.68945361
b0661,0.521222284
b1309,-1.745657891
b4185,-1.612000331
b0936,-0.975623253
b1435,0.654913053
b0511,-2.55926289
b4391,0.530797781
b4494,-1.104923557
b1311,-2.390626253
b2060,-1.122069918
b1424,0.41682529
b1393,-1.180623639
b2056,-0.842425895
b0243,0.072355461
b3596,-1.074720884
b2371,-0.948243252
b4012,-0.223799831
b1059,0.434908103
b2633,-0.717762635
b1974,-1.985877335
b1001,-1.412405622
b0242,0.344024696
b2108,-1.658020344
b3720,-2.00123419
b0279,-2.688382145
b2320,0.574630787
b1149,-1.740171128
b0612,-1.341675159
b4098,-2.238764668
b3137,-2.019842149
b0718,-1.457374972
b0393,0.867865337
b2120,-1.141465578
b3644,0.494682345
b1502,-2.306809367
b2858,-2.672182131
b4081,-1.023289122
b2986,-1.933122022
b4132,-2.201038929
b3701,0.362555761
b2644,-1.048875532
b3121,-2.020497402
b3251,0.668324563
b0452,0.304798092
b4325,-2.026326992
b2368,-0.613060689
b3370,-1.896398128
b4105,-2.450667329
b3580,-1.973312322
b0347,-2.564207121
b1203,0.840922276
b3047,-1.554826789
b0675,0.49201294
b2995,-0.314582441
b2956,-0.933315429
b0474,0.873718014
b4047,-2.982546697
b1978,-0.369521284
b4365,-1.203542994
b1961,0.443228443
b3187,0.559010487
b4650,-1.22487878
b3323,-1.119248972
b3858,0.231033559
b3424,0.649624565
b2855,-2.765259227
b1459,-1.112979586
b0133,0.287803912
b2448,-0.828278469
b0499,-0.380757606
b1232,0.505541969
b1366,-1.182648455
b3833,0.396945669
b3891,0.261913995
b0344,-1.477447311
b2492,-0.452243655
b0535,-1.502573922
b0771,-0.63587871
b2806,0.228726751
b3721,-1.465081731
b3878,-1.719675392
b0940,-0.958722048
b1151,-2.055702932
b3899,-1.292875841
b0768,-0.922957701
b4147,1.019342195
b1087,0.347218622
b3576,-2.455032684
b2477,0.347468243
b0532,-1.399248482
b2891,0.56778773
b1929,0.146058774
b2917,-0.671179021
b0698,-1.783732785
b3953,-0.518188869
b3035,0.427126435
b3826,0.244220473
b3859,0.49470652
b1505,-2.109425111
b3084,0.369380131
b0603,-1.598010649
b0686,0.591888271
b0738,0.349606608
b2061,-1.072413611
b0407,0.808659243
b2046,-0.584295667
b2957,-0.042784883
b4083,-1.97689938
b1048,0.475774485
b1035,0.43115213
b2636,-0.832902259
b2367,-1.290089088
b0731,-1.260598264
b3982,0.681241529
b0040,-1.840283159
b0291,-0.829014768
b1527,-1.932885366
b1694,-1.317541514
b2634,-0.89160023
b3038,0.39553273
b2729,-0.239234076
b4066,-1.752357997
b0997,-0.817560396
b4028,-1.101371363
b4183,-1.455367441
b0769,-2.365299169
b4108,0.50315797
b0693,-0.925679106
b3484,-2.038850466
b0334,-1.506733976
b4552,-1.305347784
b1387,-1.461214002
b4257,-1.801711583
b1785,-1.145787805
b3189,0.617226712
b0348,-1.672681584
b2873,-0.965181805
b0847,0.115748571
b4029,-0.633322554
b0310,-2.455077401
b2888,-2.147424702
b3017,0.234726394
b3240,-0.765942131
b1069,0.474893246
b4174,0.175812731
b4374,0.505963617
b3143,-2.32815292
b0684,0.840198191
b4388,0.765188351
b2451,-1.718944214
b3553,0.238030915
b3119,-3.151624562
b1905,0.723582572
b2193,0.872806776
b2330,0.488352967
b3919,0.242908378
b2740,-0.630077692
b2269,-1.588835538
b3718,-0.690812279
b2452,-1.32604728
b2339,-1.967615941
b2211,0.688412687
b4358,-1.924703724
b1157,-2.702592271
b0864,0.803513658
b0947,-0.003249423
b0984,-0.543616935
b0518,-1.98028308
b3641,0.869564989
b4100,-1.871634013
b1456,-1.32864551
b1854,-0.009743691
b2400,0.527241621
b2271,-2.429511975
b2630,0.200784594
b0733,0.005858626
b0102,0.209087239
b3562,-0.70142961
b3925,0.272479126
b0628,0.258991513
b3666,-0.090916719
b1411,-0.292982502
b1455,-3.392559655
b3770,0.261712976
b3590,-0.210697603
b3381,-1.379601753
b1158,-1.198458378
b4233,0.304357896
b4038,-1.26569129
b3876,-1.764067419
b2358,-3.20142706
b0674,1.133731597
b0754,0.478135769
b1876,0.538150444
b4495,-1.621464908
b2062,-1.098854511
b4465,-1.066676851
b2273,-2.755787335
b0783,-0.100676366
b3900,-1.510877481
b0341,-0.871986756
b1464,0.384576057
b1409,-3.992711367
b3266,-0.513876078
b0913,-0.451237081
b3867,0.307648307
b4572,-1.142292025
b2699,0.167801402
b3080,-1.055070729
b0139,-1.271987681
b4313,-0.63074586
b4099,-2.29013618
b2952,-0.871999459
b4586,-1.675532673
b0888,0.602510357
b2484,-1.542488458
b3642,-0.295809446
b1604,0.735221329
b2233,-0.204961545
b3577,-2.908790288
b3684,-1.374009856
b0343,-1.312170662
b1319,-2.233428108
b2854,-3.25179757
b2418,0.093344925
b1133,0.658013718
b3347,0.826503127
b2851,-2.707652939
b2647,-0.469620246
b3443,-2.637275608
b2386,-1.492038017
b1623,-0.311995057
b0772,0.68567347
b3384,0.521642865
b2848,-0.983341112
b0648,-0.61367793
b3244,0.419399603
b1690,-2.175400802
b2481,-2.003295873
b2576,0.386531018
b2933,-1.426989642
b0914,0.277240062
b1215,0.236004377
b2221,-1.044127513
b2047,-0.786001142
b0045,-1.339469904
b4644,-1.929058397
b2771,-1.115481276
b0292,-1.51266867
b3584,-0.38633506
b1802,-1.301321387
b3324,-0.404099322
b2922,0.538676744
b3393,-1.250037292
b0229,-1.101150612
b1153,-2.075029751
b1503,-2.110782918
b3640,0.600621244
b3881,-1.136021643
b1866,0.147082037
b2849,-3.208457371
b0136,-2.618271024
b4500,-0.726475488
b2121,-1.686665643
b2569,0.500056275
b3526,0.551929421
b0197,0.250132645
b3643,1.084313167
b0135,-1.197896193
b3483,-0.766503556
b3738,0.915531298
b0930,0.529220182
b2871,-0.660585558
b3843,0.276677117
b3062,-1.845391127
b2453,-1.659060739
b3907,-0.796595386
b1372,-1.2096112
b0335,-0.676399947
b1851,0.639360114
b3115,-1.807841404
b3702,0.171125573
b2309,1.127845581
b4101,-2.08445161
b3741,0.103036797
b3709,-1.312515037
b2357,-2.686545017
b2483,-1.116414186
b2595,0.581580177
b3507,-0.213507832
b2887,-0.981899719
b3086,-0.766074084
b4049,0.427543241
b3962,0.532905209
b1337,-0.646989324
b2970,-1.550637654
b3691,-1.142854589
b0996,-1.20445532
b3376,-1.129902622
b3586,-1.257377941
b3965,0.53510296
b1637,0.40950346
b3380,-0.827141975
b0501,-1.202929347
b4308,-0.833081556
b2850,-1.703063294
b2171,1.19409133
b0116,1.175664237
b1166,-1.838119924
b3999,0.593695805
b0276,-0.4280938
b3265,-1.259480921
b2635,-1.757433284
b3150,0.356908869
b2161,-0.993717475
b1621,0.227802563
b2478,0.378149898
b1749,0.406974376
b1116,0.39263957
b4102,-2.403441879
b2355,-2.126018844
b4106,-1.41925056
b2335,-1.987938064
b4130,-0.780249107
b1850,0.562899577
b4097,-1.540202587
b4208,-0.548503733
b1101,0.27105896
b0295,-1.526791427
b1388,-1.346927576
b4657,-0.807988131
b2385,-1.631269338
b3334,-0.517116472
b3657,-1.055615287
b4401,0.196136861
b0547,-1.490996249
b2971,-1.918107002
b4120,-0.406101761
b1460,-1.654642855
b0386,0.426955062
b2223,-1.409295944
b2234,0.11461121
b3228,0.402213749
b3482,-0.815625734
b3215,-0.811510049
b2050,-0.255393706
b0784,-0.071015796
b2486,-0.939257071
b2226,-1.091378899
b0561,-0.751331479
b1212,0.330477396
b2222,-2.332965833
b4052,0.386438906
b0333,-1.07596338
b3680,-0.502024562
b3072,-0.490892975
b1115,-0.678809707
b4506,-5.913975447
b1154,-1.371056187
b0645,-2.017865088
b2984,-1.383808951
b4184,-1.627163863
b0531,-1.565141514
b0112,0.627632182
b3178,0.093096454
b1338,-0.574660649
b1757,0.049033192
b3149,0.245432243
b0681,-0.737836095
b4131,-1.033641348
b3076,-1.010929844
b4186,-0.763028161
b1767,0.474678924
b3897,-1.087006887
b3942,-0.165278342
b1075,2.033291912
b0432,1.39186489
b3719,-1.162068772
b0549,-1.584229811
b0986,-1.181611094
b4622,-2.324356514
b1662,0.266159321
b2296,-0.136392358
b2930,-1.114931418
b2846,-0.589394715
b4615,-2.67925864
b4335,-0.284706548
b3778,0.116272838
b3061,-1.623566787
b3634,0.783002832
b0193,-0.091084199
b0618,-1.232671172
b2859,-1.132499642
b0141,-1.764731771
b4661,-0.579847963
b0287,-0.063009011
b1264,0.215393639
b2710,-0.796763636
b4021,-0.216214345
b2778,-1.50870259
b2286,0.26377317
b3888,0.315250149
b2072,-1.039875711
b2985,-1.062095918
b3997,0.239175696
b1815,-0.524337397
b1816,0.028278637
b0314,-0.261102549
b3818,-0.839982557
b2294,0.163227002
b0296,-6.216236706
b0230,-0.981326063
b0820,0.303096969
b0985,-1.364803601
b2270,-0.524847578
b4316,0.479300316
b3441,0.492816449
b3697,0.292711245
b2356,-3.443724658
b3613,0.619700122
b0301,-2.094600207
b3368,0.387747871
b2199,-0.062228851
b2879,-1.208612285
b3158,0.270979839
b0688,-0.117119632
b0042,-1.801844477
b1889,-0.740783509
b3392,-1.208084417
b3374,-0.432921176
b2241,-2.651892617
b0477,0.365126469
b2361,-2.269468706
b2953,-0.600484943
b0319,-2.007901045
b0544,-1.995192282
b3649,0.156395826
b0649,-0.261619831
b4160,0.014698433
b1952,0.159498337
b2758,-0.34714208
b0166,0.628444955
b2581,0.266143155
b3591,0.063087388
b0617,-1.424354461
b3331,-0.602148528
b2383,-0.727458277
b3686,-1.107850893
b2700,0.595333306
b3030,0.276408056
b1121,-0.535397998
b3195,0.494539788
b0108,-0.831396852
b1028,-2.103857525
b4232,0.786241504
b2110,-2.382298679
b2447,-0.667936361
b3422,-0.337106503
b0614,-1.560804381
b1351,-1.898397215
b2065,0.290246655
b4041,0.292601113
b2489,-0.699956077
b3066,0.550490154
b0028,0.36484576
b2066,0.579127208
b1026,-0.454596802
b4080,-1.244490894
b1160,-1.228663687
b3190,0.766452589
b2027,1.221474801
b0939,-1.303102315
b2139,-1.272628122
b1350,-0.934668952
b2115,-0.732426652
b2914,0.162145876
b2118,-0.49723548
b3745,-0.136216852
b3847,0.294643595
b0929,0.219535166
b2224,-0.670239601
b3478,-1.257076177
b2073,-0.744422092
b1704,0.710533296
b2950,-0.365701468
b3426,-1.596037675
b2491,-0.403528566
b3949,-0.939699903
b2248,-1.222529541
b0463,0.441424882
b2547,-0.955423556
b3944,-0.832711252
b3253,0.189017347
b0054,0.297327163
b2316,0.701313216
b2701,0.493047717
b4207,0.597522987
b2114,0.35280493
b4395,0.578576637
b1457,0.109539989
b2029,0.283191955
b3544,-1.403565062
b3935,0.162640596
b2077,-0.706734064
b2454,-1.923338958
b0277,-0.307714929
b0227,-0.620099582
b0140,-1.478423984
b0161,0.216243064
b0041,-1.722571346
b4309,-0.853837254
b0967,0.643219304
b0154,0.128641066
b0647,-1.998605368
b2277,0.534486973
b1560,-0.821393542
b0697,-1.103838037
b3216,-0.421265346
b0705,-0.899818101
b2947,0.320062754
b2935,0.82076393
b0887,0.603209686
b2498,2.05187488
b3927,-1.892213694
b4311,-1.252384752
b3002,0.598637352
b3227,-0.622686051
b3388,0.313534288
b0029,0.337620635
b0896,-0.849958429
b3135,-0.794420301
b0013,-0.436948955
b1606,0.413317392
b3405,0.042965582
b0138,-1.193410646
b4334,-0.214261738
b0181,0.326270049
b3950,-1.092012617
b4238,-0.364066947
b2870,-1.576768084
b3147,0.285702481
b0931,0.879346773
b1832,0.846377515
b0369,0.357829521
b0922,0.481089043
b3391,-0.322160786
b0321,-0.97532646
b0320,-1.243360825
b3389,0.337478096
b1860,0.277747002
b2057,-0.862379752
b3325,-0.365765278
b1810,0.061034664
b3198,0.505515888
b0961,0.583998257
b1576,-2.617861273
b2229,-1.69265717
b1386,-0.719214098
b1864,0.50136382
b3104,-1.307059411
b0434,1.540587184
b4074,-0.93891081
b3543,-0.406389365
b3678,-0.812019544
b0222,0.48284254
b1766,0.360571361
b4508,-1.153362396
b2119,-1.05847571
b1161,-1.191488623
b1023,-0.784339409
b1486,-0.902551027
b1390,-1.148879269
b4471,-1.152491134
b3961,0.02966259
b4048,-0.807028918
b0613,-1.542371777
b2059,-0.730163719
b0512,-0.989593166
b0416,0.565822813
b0575,-0.875811098
b0655,-0.142360461
b1363,-0.594358331
b1744,-0.813140584
b1751,0.137177007
b4161,0.443283747
b0874,0.907973549
b1254,0.464749498
b4579,-1.449439246
b3589,-1.67174668
b4095,-1.480621792
b3114,-1.287018061
b1410,-0.803173346
b4328,0.378715289
b3593,-0.714588698
b0948,0.544597212
b2004,-0.583877662
b3464,0.642839861
b2113,0.6493393
b0381,-0.097091011
b3951,-0.663635514
b0323,-0.916972472
b0550,-1.791551391
b3013,-0.222503838
b0732,-0.454101581
b1185,0.597011497
b1999,-0.376330201
b2996,-0.400930688
b0127,0.199555054
b0405,0.470968012
b2760,-0.810221565
b0478,0.139695281
b2845,-0.978493534
b2554,-0.121748369
b2268,0.440822376
b3705,0.825916017
b1830,0.324978033
b4556,-0.801338459
b0934,-0.402034751
b3639,0.539800897
b1873,-0.97060329
b2770,-0.630381946
b0508,-1.69589471
b2232,0.367773167
b0270,-1.508677795
b1383,-0.210812126
b1147,-0.647532758
b0497,-0.643312815
b4482,-0.745693536
b0402,-0.082230935
b2648,-1.242851374
b3675,-0.352432395
b1657,0.553463905
b2898,0.227511847
b4182,-0.943485545
b1407,-1.590235438
b0358,-0.43420041
b0954,0.893208711
b1867,0.241793813
b1074,2.26765191
b0421,0.488004798
b2918,-0.817870514
b3075,0.361312636
b3611,0.562071716
b1835,0.176056403
b3865,0.587433814
b1497,-1.622642716
b2737,-0.725763533
b1913,0.028747757
b3744,1.610615183
b1108,-0.030228839
b2810,0.371082413
b4152,-0.731022787
b0703,-0.167737528
b2954,0.009368133
b4192,-0.463479102
b1196,-1.094612997
b3477,-1.637329521
b2566,0.42350552
b4087,-1.283068628
b3041,0.335107344
b2534,-0.474499998
b1880,-0.060631024
b1539,0.134601803
b1693,0.364042267
b2393,0.27651924
b3869,0.767764962
b1412,0.397342732
b1010,-0.984671702
b1862,-0.638019372
b2319,0.324007454
b0576,0.728047797
b1022,-1.082566191
b3615,-0.423053088
b3947,-0.904825832
b2727,-0.195834792
b4094,-0.728249612
b3612,0.030357539
b2300,0.496293257
b0737,0.991809262
b1831,0.676568711
b1324,0.581386266
b4682,-2.943003752
b2563,0.116977515
b1128,0.330603423
b1391,-0.471029854
b4602,0.299140067
b0107,-0.193651054
b4082,-0.902818434
b1453,-0.190647279
b0406,0.979127027
b1861,0.476886242
b2132,0.258048606
b1804,0.646127349
b0011,-0.888985255
b0509,-1.401553774
b2458,-1.13514827
b0970,0.435970848
b3046,-1.613845967
b3235,0.485324506
b0787,-0.716332648
b0339,-0.22556376
b3201,0.211894997
b2564,0.250330563
b1506,-2.412643115
b0439,0.018106446
b2456,-1.632776272
b0034,0.369665547
b1554,-0.648433776
b3882,-1.417667158
b3141,-0.861873346
b0767,-0.221018633
b4279,-1.23623522
b2455,-1.70433899
b1395,-0.567843596
b0782,-0.192829242
b1499,0.284767147
b4509,-1.231791308
b1207,1.003457401
b1752,0.110390128
b0602,-0.923722502
b2482,-1.201413114
b4345,-0.849912366
b0326,-2.091818517
b0943,-0.295529653
b3476,-1.345545125
b1973,-7.685077123
b3849,0.049386985
b0143,0.506316495
b0217,-0.54358542
b2002,0.113190498
b2987,-1.277783372
b2225,-0.67424814
b1360,-0.998507658
b1034,0.377540584
b4180,0.111792244
b1365,-0.605612866
b2516,0.447292703
b0824,-1.250624937
b3377,-0.773125424
b0145,0.359787444
b1782,0.923894393
b3139,-1.838488463
b0097,0.584206932
b0159,0.061640536
b3769,0.17839283
b1588,-0.920972417
b4696,0.056993344
b2997,-0.034606717
b4496,-0.367843132
b0895,-0.946512397
b4036,1.338198666
b3581,-1.560163912
b0525,0.444665908
b1184,-0.200137015
b0616,-0.981186887
b0977,-0.586247002
b0415,0.469369331
b0289,-0.70931396
b0680,0.501770216
b2329,0.289999696
b1852,0.309241753
b0179,0.487681635
b1127,-0.263516176
b0539,-0.719385235
b2643,-1.096711635
b1078,1.491766683
b0877,0.668879922
b3357,0.589439634
b0106,-0.413365501
b1579,-0.323107314
b2754,-0.275009528
b3931,-0.028071117
b4277,-0.920580404
b0534,-0.823610016
b2881,-0.752343518
b3367,-0.194458368
b3583,-0.606975003
b3879,-1.811609105
b2443,-0.170539927
b0149,0.308178378
b2862,-0.386121919
b4231,-0.745988667
b4260,0.112547402
b2048,-0.484193455
b3214,0.950536926
b0521,-0.13827408
b1200,0.372005459
b4359,0.519493509
b2905,4.29554836
b0470,0.255656571
b3834,0.080646947
b1682,-0.47781204
b2890,0.344737171
b3229,0.596689068
b4054,0.342276025
b3160,0.682017921
b3609,0.16146794
b4153,-0.621222813
b0507,-0.730727131
b4042,0.779727486
b1875,0.309712416
b3725,0.096539502
b0563,-0.336438366
b1489,-1.066475756
b4620,-0.946047953
b3998,0.132205235
b3861,-0.822736454
b4284,-0.157244932
b0646,-0.811395096
b1710,0.032638857
b2010,0.037669751
b1796,-1.197208734
b3328,-0.568477802
b0863,0.453720164
b1730,-0.996022937
b1616,-1.027296954
b3288,0.200355625
b1543,-0.73873314
b0131,0.672554189
b2915,-0.008466136
b2553,0.758218145
b3144,-0.475436224
b2162,-1.357733588
b0588,0.121298025
b3461,0.5272727
b3932,0.119619081
b4379,-0.647574273
b3091,-0.692135598
b3052,0.309584296
b1103,0.109288127
b0284,-0.791737107
b0951,0.246530056
b3908,0.830839838
b1095,0.398592793
b3146,0.514862639
b3563,-0.860701413
b4017,0.473367879
b1663,0.49996094
b0080,0.084683436
b1656,0.387862821
b1313,-1.143587055
b3690,-0.44258073
b3271,-0.255523834
b3064,0.730063756
b1165,-1.595455113
b2626,-2.841648237
b2420,0.229322458
b3194,0.255001997
b2049,-0.339555285
b2346,0.429020895
b1504,-2.110772552
b2690,0.728586671
b3558,-0.944195964
b3981,0.813773625
b2813,0.862759444
b4202,1.177958869
b1316,-1.0941299
b4200,1.193447671
b1769,-0.730779783
b2836,0.102490889
b3706,0.198533174
b0492,-0.015365617
b2794,0.529177665
b1168,-1.04088423
b2495,0.678341511
b3329,-1.020739116
b3182,0.349063667
b0254,-0.137060787
b0827,0.080026856
b3156,-0.178376605
b4304,-1.160067563
b1575,-1.691398142
b2334,-0.728190565
b4198,-0.517866316
b1884,-1.282512524
b1392,-1.037565897
b2994,0.102708565
b3811,0.135129731
b2301,0.279218444
b2913,0.893019207
b3648,0.441859062
b2526,0.339066316
b0043,-1.768070603
b0927,0.358402025
b1214,0.545976716
b3136,-0.939375801
b1404,-0.173350578
b3498,0.120387832
b2276,0.189535721
b1235,0.367601925
b0562,-0.764675237
b2948,0.494206083
b3027,-1.538559741
b3699,0.162280356
b2096,-0.076702122
b3587,-1.862307344
b2684,1.213851072
b3633,0.648080988
b1073,2.357457822
b0196,1.012791042
b2469,0.11763937
b2344,0.771382715
b2183,0.636899103
b4151,-0.667558699
b2472,-0.191533627
b1348,-2.11644033
b4234,0.362805
b4469,0.370761882
b0121,0.840014534
b1888,-0.435603247
b3172,1.491229143
b2945,-0.482331455
b1723,-0.187097148
b1068,-0.168479473
b4630,-3.561065544
b0061,-1.50604226
b0657,0.306026991
b0607,0.078441975
b0982,-0.620317701
b0025,0.47765382
b4157,-0.448380554
b1680,-0.523520858
b1797,-0.632128818
b0340,-0.42008947
b3192,0.427792913
b2407,-0.653975233
b2789,-1.74490561
b3418,0.120626097
b3416,0.380283412
b2408,-0.651487029
b1104,-0.076999816
b2728,-0.185090815
b4478,-1.141869073
b3479,-0.649078763
b3722,0.216690064
b0567,-0.380408742
b1352,-1.896478544
b2262,0.319685713
b0945,2.244831187
b0572,-1.28522086
b3542,-0.5647545
b3327,-0.503217026
b0223,0.206509186
b4201,1.110281039
b4215,-1.165507255
b1192,0.353427811
b0893,0.148313781
b4419,0.29683235
b2460,-1.234804476
b3295,0.816632935
b3572,0.412624012
b3783,0.113742067
b3937,0.191399286
b3186,0.707925079
b0096,0.429356159
b3365,-0.305686154
b3371,-0.852899358
b0263,-1.140485077
b0937,-0.427467298
b0401,-0.460193986
b0740,0.617540996
b2016,0.224725885
b2946,0.335558333
b4243,0.572388523
b3896,-1.030166695
b4341,-1.056125277
b1418,0.255659974
b2384,-1.744146547
b1368,-0.608749383
b2878,-0.56299406
b4000,0.195968072
b3151,1.718927235
b2467,0.183106092
b2376,-0.223932941
b2567,0.513032095
b0444,0.35373957
b1204,0.940699963
b0117,-0.454313719
b4700,-1.226419247
b0654,0.301651037
b3955,0.408608966
b2207,0.765832689
b3898,-0.776594681
b1681,-0.562646306
b2919,-0.337637583
b0260,-0.696208556
b3394,-0.829825266
b2373,-1.413802859
b4031,-0.078211112
b2687,-0.046600677
b1136,0.410882291
b0168,0.323425879
b1837,-0.100250757
b4621,-2.596801755
b3433,0.538936208
b2734,-1.433344222
b0385,-0.643486386
b3366,-0.681921815
b2488,-0.802674303
b0044,-1.445443665
b2776,-0.7555598
b4333,-0.452876703
b3234,0.184610533
b0548,-2.061428032
b2431,-0.060820441
b4594,-0.523692547
b4541,-1.146118009
b2198,-0.398180805
b4463,-1.234462032
b3664,-1.160885524
b2765,1.432647429
b1225,-0.291661086
b4363,-1.093654912
b3520,-0.823424216
b3860,0.35372007
b3180,0.790019562
b2359,-0.399810347
b0218,-2.054734844
b3341,0.712559157
b3765,-0.211472374
b4058,0.008381019
b2045,-0.442847535
b2070,-0.68420054
b1673,-1.476241806
b2872,-1.262233001
b3646,0.31508709
b3138,-1.339260298
b3200,0.266958074
b0074,0.329896455
b4349,0.513928254
b3980,0.588681073
b0195,0.77663024
b3236,0.152571376
b3823,0.565481693
b0241,-0.779655141
b3713,-0.184678713
b1775,-0.915992776
b3493,0.850016644
b4347,0.033415905
b0551,-0.638326228
b1479,0.729378301
b0006,0.479973986
b0919,-0.186173471
b0809,0.763050384
b0290,-0.330658846
b1559,-0.2636438
b0059,0.483007891
b3063,-0.474562633
